postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"2190","916","7726","11.2","6863","2665","1491","2706","867","47","2","171775","1,099,362","224.4"
"2191","180","2109","8.4","583","523","60","0","177","3","0","23908","153,010","30.8"
"2192","324","2831","10.9","1127","880","247","0","309","15","0","47895","306,525","61.9"
"2193","513","4051","12.4","1873","1467","406","0","502","11","0","55468","354,996","71.5"
"2194","356","3060","10.8","1437","850","587","0","332","24","0","59614","381,529","77"
"2195","404","2736","14.0","1578","1062","516","0","383","21","0","58170","372,287","75.1"
"2196","983","8356","11.5","3335","2808","527","0","960","23","0","119589","765,371","154.4"
"2197","426","2889","14.4","1512","1354","158","0","416","10","0","37156","237,796","47.8"
"2198","379","2825","13.0","1353","1147","207","0","366","13","0","34957","223,726","45"
"2199","662","4905","13.0","2426","1911","515","0","639","23","0","63970","409,409","82.5"
"2200","1260","8777","13.3","5942","3578","2364","0","1169","91","0","201104","1,287,065","259.7"
"2203","350","2711","12.6","1119","996","124","0","342","8","0","37655","240,991","48.5"
"2204","697","5936","10.5","3946","1890","2056","0","621","76","0","129162","826,638","168.3"
